"mietekalt","qm_Preis","wohnflaeche","alter","objektzustand","zimmeranzahl","balkon","einbaukueche","keller","ausstattung","ausstattung_kat","aufzug","gaestewc","garten","heizungsart","barrierefrei","Einstellungsdatum","Einstellungsmonat"
780,11.6071434020996,67.1999969482422,1,6,3,1,1,1,1,2,1,0,0,12,1,2019-04-01,"04"
610,8.73925495147705,69.8000030517578,61,NA,3,1,0,1,0,0,0,0,0,3,0,2019-07-01,"07"
687,8.56715297698975,80.1900024414062,24,NA,3,1,0,1,0,0,1,0,0,4,1,2019-11-01,"11"
580,8.6826343536377,66.8000030517578,42,7,2,1,0,1,0,0,0,0,0,6,0,2019-02-01,"02"
400,8,50,NA,NA,2,0,0,0,1,1,0,0,0,6,0,2019-09-01,"09"
385,7.4038462638855,52,69,7,3,1,0,1,0,0,0,0,0,13,0,2019-07-01,"07"
594,8.62369346618652,68.879997253418,62,NA,3,1,0,1,0,0,0,0,0,13,0,2019-01-01,"01"
350,8.97435855865479,39,28,6,1,0,0,1,1,2,0,0,0,6,0,2019-05-01,"05"
790,9.7027759552002,81.4199981689453,6,3,2,0,1,1,1,2,1,1,0,4,1,2019-10-01,"10"
650,8.22784805297852,79,64,NA,4,0,0,1,1,1,0,0,0,3,0,2019-01-01,"01"
522.19,9.11167335510254,57.310001373291,57,NA,2,1,0,1,0,0,0,0,0,3,0,2018-11-01,"11"
495.72,5.50005578994751,90.129997253418,NA,7,4,1,0,1,1,1,0,1,0,NA,0,2019-07-01,"07"
486,6.75,72,26,5,2.5,1,0,0,1,1,0,0,0,13,0,2019-01-01,"01"
593.4,6.90000009536743,86,50,NA,3.5,1,0,1,0,0,0,0,0,13,0,2019-12-01,"12"
695,10.0724639892578,69,55,2,2,1,0,0,1,2,0,0,1,10,0,2018-10-01,"10"
990,9,110,28,5,3,1,0,0,1,1,1,1,0,3,0,2019-03-01,"03"
440,7.09677410125732,62,61,7,2,1,0,1,0,0,0,0,1,3,0,2019-04-01,"04"
790,11.5311632156372,68.5100021362305,2,1,2,1,0,1,1,2,1,0,0,4,1,2018-10-01,"10"
885,11.4935064315796,77,92,1,3,1,0,0,1,2,0,1,0,4,0,2019-10-01,"10"
600,10,60,NA,4,3,0,0,0,0,0,0,0,0,4,0,2019-06-01,"06"
469,7.7751989364624,60.3199996948242,25,7,2,1,0,0,0,0,0,0,0,13,0,2019-09-01,"09"
245,7,35,90,7,2,1,0,1,1,1,0,0,0,13,0,2019-06-01,"06"
489.33,7.66494369506836,63.8400001525879,58,NA,3,1,0,1,0,0,0,0,0,13,0,2019-01-01,"01"
690,8.84615421295166,78,NA,7,2,1,1,1,1,2,0,0,0,13,0,2019-04-01,"04"
326.07,5.45998001098633,59.7200012207031,20,7,2,1,1,1,1,1,1,0,0,13,1,2019-02-01,"02"
550,5.67010307312012,97,NA,NA,4,0,1,0,0,0,1,0,0,6,0,2019-07-01,"07"
700,7.77777767181396,90,NA,NA,4,1,0,1,1,1,0,0,0,13,0,2019-11-01,"11"
550,11,50,106,2,2,0,1,1,1,2,0,0,0,13,0,2019-04-01,"04"
315,7,45,106,5,2,1,0,0,1,1,0,0,0,3,0,2019-11-01,"11"
330,6,55,60,8,2,1,0,1,1,1,0,0,0,NA,0,2019-04-01,"04"
450,9.57446765899658,47,118,5,3,0,0,0,0,0,0,0,0,4,0,2019-02-01,"02"
800,8.24742221832275,97,NA,NA,3,1,0,1,1,1,0,1,1,13,0,2019-07-01,"07"
535,7.53521108627319,71,57,7,3,1,1,0,1,1,0,0,0,13,0,2019-09-01,"09"
495,8.38983058929443,59,26,3,2,1,0,1,1,1,0,0,0,13,0,2019-05-01,"05"
374.17,5.07005405426025,73.8000030517578,13,7,3,0,0,1,1,1,1,0,0,13,1,2019-10-01,"10"
750,8.24175834655762,91,28,7,3,1,1,1,1,2,0,1,0,13,0,2019-11-01,"11"
315,12.6000003814697,25,NA,NA,1,0,1,1,0,0,0,0,0,NA,0,2019-05-01,"05"
466.11,8.17306709289551,57.0299987792969,64,NA,2.5,1,0,1,0,0,0,0,0,13,0,2019-01-01,"01"
1200,9.23076915740967,130,NA,NA,5,1,0,1,0,0,0,1,1,NA,0,2019-09-01,"09"
520,7.22222232818604,72,NA,NA,2,1,1,1,0,0,0,0,0,13,0,2019-09-01,"09"
419,5.66216230392456,74,32,7,3,1,0,0,0,0,1,0,0,13,0,2019-08-01,"08"
459,7.65000009536743,60,89,7,3,0,0,0,0,0,0,0,0,3,0,2019-11-01,"11"
502.34,7.51443529129028,66.8499984741211,62,NA,3,1,0,1,0,0,0,0,0,13,0,2019-08-01,"08"
